trend_name,description
Quiet Luxury,"Understated elegance through muted tones, tailored silhouettes, and high-quality fabrics."
Regencycore,"Inspired by Regency-era fashion with corsets, empire waistlines, and romantic detailing."
Soft Grunge,"Combines grunge staples like tartan and combat boots with softer, feminine pieces."
Indie Sleaze,Retro-inspired aesthetic mixing thrift-store punk with 2000s flash and messy hair.
Cherry Girl,"A bold palette dominated by cherry red, used in dresses, shoes, and accessories."
Boho Chic in Suede,Bohemian silhouettes styled with flowing suede fabrics and neutral palettes.
Animal Print Everything,"Leopard, zebra, cow, and snakeskin prints used liberally across garments."
Psychedelic Flow,Swirling prints and vibrant colors reminiscent of 70s psychedelic art.
Midis and Jorts,Denim silhouettes like capris and jorts making a mainstream comeback.
Nomadic Spirit,"Layered boho looks with embroidery, shawls, and artisanal accessories."
Balletcore,"Soft pastels, wrap skirts, leotards, and ballet flats used for an ultra-feminine look."
Cyber Glow,"Futuristic fashion with metallic tones, neon lights, and tech-inspired cuts."
Grunge Revival,"Ripped jeans, band tees, and oversized flannel in a 90s throwback style."
Cottagecore,"Prairie dresses, floral prints, and a romanticized rural aesthetic."
Glam Goth,"Black lace, velvet, and edgy accessories with a romantic dark twist."
Y2K Revival,"Low-rise jeans, butterfly clips, and shiny textures recalling early 2000s fashion."
Matrix Leather,Long black trench coats and sleek silhouettes inspired by sci-fi aesthetics.
Gorp Core,"Outdoor gear turned streetwear with utility vests, hiking boots, and shell jackets."
Sheer Monochromes,Single-color outfits built from layered sheer and transparent fabrics.
Utility Romance,"Combines utilitarian silhouettes with soft, flowing fabrics and feminine touches."
Luxe Loungewear,"Comfort-first outfits with silk, cashmere, and elevated knitwear."
Statement Coats,"Outerwear in bold colors, prints, or exaggerated silhouettes."
Featherlight Fringe,"Fringe used on skirts, sleeves, and dresses to add playful movement."
Power Pastels,Tailored suits and structured garments rendered in soft pastel colors.
Reworked Vintage,Upcycled or remade garments inspired by past fashion eras.
Dark Academia,"Tweed blazers, wool skirts, and bookish layers in dark tones."
Coastal Cowgirl,"Blends beachwear with western boots, hats, and fringe."
Athleisure Edge,Modern sportswear meets urban cool through technical fabrics.
Futuristic Armor,"Structured silhouettes, neoprene, and bold metallics."
Minimal Maximalism,Clean lines mixed with oversized shapes and contrasting textures.
Digital Couture,AI-generated or tech-influenced prints and silhouettes.
Gingham Revival,"Picnic-ready patterns used on dresses, suits, and even shoes."
Craftcore,"Garments that highlight handcraft—crochet, quilting, and embroidery."
Barbiecore,Bright pink outfits inspired by the Barbie aesthetic and femininity.
Fringe Renaissance,Western-inspired fringe gets a glam upgrade in modern fabrics.
Bubble Hem Comeback,Revival of the bubble silhouette for skirts and dresses.
All Things Furry,"Faux fur jackets, cuffs, and accessories make a statement."
Frazzled but Fabulous,"Disheveled layering that mixes patterns, textures, and comfort."
Tonal Tailoring,Head-to-toe tailored outfits in a single color family.
Pastel Pop,"Cotton candy tones applied to outerwear, bags, and heels."
Sculptural Silhouettes,3D forms and experimental tailoring define this artistic trend.
Denim Redux,Deconstructed and reassembled denim for a patchwork look.
Oceanic Blues,"Shades of turquoise, seafoam, and navy inspired by marine life."
Neo-Punk,"Studded leather, aggressive prints, and DIY vibes return."
Layered Sportswear,"Running shorts, base layers, and track jackets styled with polish."
Brocade and Baroque,"Regal prints, embroidery, and drama with gold accents."
Festival Futurism,Burning Man-inspired rave fashion with reflective materials.
Desert Neutrals,"Earth-toned pieces in linen, suede, and cotton."
Checkerboard Cool,"Black-and-white checks on pants, bags, and outerwear."
Scandi Simplicity,Minimalist tailoring in soft tones and clean lines.
Color Blocking,Bold color-blocking using primary hues to create high-impact visuals.
Denim Redux,Denim-on-denim with modern cuts and washed finishes.
Athleisure,Sporty aesthetic blending activewear with casual street fashion.
Pastel Pop,Playful use of pastels and candy tones for spring dressing.
Digital Couture,Digital prints and 3D embellishments merging tech and style.
Utility Chic,Utilitarian pieces like cargo pants and oversized pockets meet streetwear.
Power Silhouettes,Structured shoulders and exaggerated sleeves add volume and drama.
Quiet Luxury,"Understated elegance via muted tones, clean tailoring, and high‑quality fabrics "
Regencycore,Romantic empire waists and corsets inspired by Bridgerton aesthetics 
Soft Grunge,Grunge staples like tartan and combat boots softened with feminine touches 
Indie Sleaze,"Messy, vintage punk‑meets‑Y2K aesthetics rooted in 2000s nostalgia"
Cherry Girl,Bold cherry‑red palettes featured across clothing and accessories 
Boho Chic in Suede,Flowing bohemian silhouettes reinterpreted in suede fabrics 
Animal Print Everything,"Maximalist use of leopard, zebra, snakeskin, and cow prints "
Psychedelic Flow,Swirling tie‑dye and bold 70s‑inspired prints for statement looks
Midis & Jorts,Denim reinstated in the form of midi-skirts and jorts for summer 
Nomadic Spirit,"Layered boho looks with embroidery, shawls, and artisanal finishes "
Balletcore,"Ultra‑feminine styling with wrap skirts, pastels, and ballet flats "
Cyber Glow,Futuristic metallics and neon cuts inspired by sci‑fi fashion 
Grunge Revival,"Oversized flannels, ripped jeans, and band tees in throwback style "
Cottagecore,"Romantic prairie dresses, florals, and ruffles inspired by rustic aesthetics "
Glam Goth,"Velvet, lace, and edgy accessories with romantic dark styling"
Y2K Revival,"Low-rise jeans, butterfly clips, neon, and early 2000s fashion revival"
Matrix Leather,Long trench coats and sleek black leather in cyberpunk style 
Gorp Core,"Outdoor gear (puffer jackets, hiking boots) reimagined as streetwear "
Sheer Monochromes,Layered transparent fabrics built into tonal outfits 
Utility Romance,Blends of utilitarian silhouettes with flowing feminine fabrics 
Luxe Loungewear,Elevated knitwear and silk-cashmere comfort outfits 
Statement Coats,Bold coats in vibrant colors or prints to anchor minimal looks 
Feather Fringe,"Playful fringe accents on sleeves, hemlines, and jackets "
Power Pastels,Structured tailoring infused with soft pastel hues 
Reworked Vintage,Upcycled styles inspired by vintage eras reimagined for today
Dark Academia,"Tweeds, pleats, and preppy layers in intellectual dark tones "
Coastal Core,Marine-inspired prints and beachwear mixed with city basics 
Athleisure Edge,Tailored sportswear combined with technical fabrics for street style 
Futuristic Armor,"Structured neoprene, metallics, and bold metallic tailoring "
Minimal Maximalism,Contrast between clean minimal and oversized maximalist elements
Digital Couture,AI-generated prints and tech-influenced designs in couture fashion 
Gingham Revival,"Checkered gingham patterns in dresses, suits, and accessories "
